metric name, value
total_software_entries, 252
total_software_releases, 1277
total_software_maintained, 153
total_mentions, 679
total_stars, 5233
total_forks, 1779
total_issues, 4275
total_in_package_manager, 32
total_downloads, 610004
total_reverse_dependencies, 26
total_contributors, 993
total_participating_organizations, 0
total_commit_activity, 110733
total_programming_languages, 88
total_software_licenses, 19
avg_software_lifetime, 3.3
